,cycle_id,total_harvest(kg),total_seed,survival_rate(%),avg_pond_length,avg_pond_width,avg_pond_depth,long_cycle(day),total_feed(kg),avg_tray_number,avg_feed_remain%,count_fasting,total_mortal,avg_weight_mortal,avg_weight_sample
81,7998,22348.03,23912,93.46,0.0,0.0,1.6,77,725.7,0.0,0.0,0.0,0.0,0.0,13.444444444444445
82,7999,28709.95,23912,120.07,0.0,0.0,1.6,77,1221.6,0.0,0.0,0.0,0.0,0.0,13.0725
83,8000,496235.98,401809,123.5,57.74,43.3,1.6,83,9148.0,0.0,0.0,1.0,0.0,0.0,11.4275
84,8004,933447.1699999999,767750,121.58,75.37,56.52,1.6,81,21816.0,0.0,0.0,0.0,0.0,0.0,13.030000000000001
85,8005,645356.39,662300,97.44,70.05,52.54,1.6,70,15196.0,0.0,0.0,0.0,114194.0,14.8,10.602857142857143
86,8006,327378.1,277500,117.97,45.31,33.99,1.6,80,8452.0,0.0,0.0,0.0,0.0,0.0,13.534285714285716
87,8007,623425.5,655830,95.06,69.67,52.25,1.6,83,16220.0,0.0,0.0,0.0,126668.0,3.0,13.656666666666666
88,8008,637363.6,614250,103.76,67.43,50.57,1.6,82,14169.0,0.0,0.0,0.0,3000.0,80.0,11.91375
89,8010,525117.6000000001,483840,108.53,59.78,44.83,1.6,84,12841.0,0.0,0.0,1.0,0.0,0.0,13.846250000000001
90,8011,488778.02,469900,104.02,58.88,44.16,1.6,82,13476.0,0.0,0.0,1.0,0.0,0.0,14.8325
91,8012,249058.77000000002,210900,118.09,39.5,29.62,1.6,80,6254.0,0.0,0.0,1.0,0.0,0.0,12.96875
92,8013,283913.17000000004,320050,88.71,48.72,36.54,1.6,83,9943.0,0.0,0.0,1.0,0.0,0.0,13.645
93,8014,117918.41999999998,90720,129.98,26.52,19.89,1.6,81,3215.5,0.0,0.0,0.0,0.0,0.0,14.12142857142857
94,8092,52625.0,120000,43.85,36.51,27.39,1.0,70,606.0,0.0,0.0,6.0,0.0,0.0,3.1500000000000004
95,8139,18600.0,200000,9.3,65.42,49.07,1.0,43,425.0,0.0,0.0,4.0,5510.0,13.8,0.0
96,8259,469939.80000000005,597864,78.6,57.74,43.3,3.0,108,8129.7,0.0,0.0,6.0,5748.0,58.2,7.716666666666666
97,8265,374388.42,681750,54.92,57.74,43.3,3.0,109,8038.7,0.0,0.0,6.0,16119.0,38.32,6.716666666666666
98,8266,131007.34,496200,26.4,57.74,43.3,3.0,113,7308.8,0.0,0.0,9.0,1776.0,13.51,11.226
99,8292,102750.0,100000,102.75,30.0,27.0,1.5,43,653.2,0.0,0.0,2.0,0.0,0.0,5.0
100,8475,106420.0,60000,177.37,44.72,33.54,0.0,49,352.6,0.0,0.0,5.0,0.0,0.0,6.09
101,8476,71495.0,60000,119.16,44.72,33.54,0.0,49,404.1,0.0,0.0,5.0,0.0,0.0,0.0
102,8578,173760.0,250000,69.5,51.64,38.73,1.0,57,959.0,0.0,0.0,3.0,0.0,0.0,4.616666666666666
103,8669,24900.0,50000,49.8,60.17,45.12,1.0,20,26.5,0.0,0.0,15.0,0.0,0.0,0.0
104,8670,20160.0,50000,40.32,20.0,25.0,1.0,20,59.0,0.0,0.0,1.0,0.0,0.0,0.0
105,8674,5100.0,20000,25.5,50.0,30.0,1.0,48,100.0,0.0,0.0,32.0,0.0,0.0,0.0
106,8677,29340.0,50000,58.68,58.12,43.59,60.0,50,67.0,0.0,0.0,24.0,0.0,0.0,0.0
107,8683,30000.0,40000,75.0,52.35,39.26,1.0,35,200.0,0.0,0.0,35.0,0.0,0.0,0.0
108,8684,12000.0,50000,24.0,57.36,43.02,1.0,43,50.0,0.0,0.0,40.0,0.0,0.0,0.0
109,8685,30000.0,40000,75.0,60.02,45.02,1.0,42,44.0,0.0,0.0,39.0,0.0,0.0,0.0
110,8687,14000.0,18000,77.78,10.0,60.0,0.0,44,45.75,0.0,0.0,23.0,0.0,0.0,0.0
111,8688,11480.0,10000,114.8,28.28,21.21,1.0,27,21.0,0.0,0.0,18.0,0.0,0.0,0.0
112,8716,131000.0,120000,109.17,28.87,21.65,0.0,57,851.5,0.0,0.0,2.0,0.0,0.0,4.12
113,8914,13800.0,70000,19.71,60.02,45.02,1.0,38,75.0,0.0,0.0,20.0,0.0,0.0,0.0
114,8948,30000.0,40000,75.0,60.17,45.12,0.0,32,75.0,0.0,0.0,20.0,0.0,0.0,0.0
115,8963,18000.0,20000,90.0,58.5,43.88,1.0,67,50.0,0.0,0.0,47.0,0.0,0.0,0.0
116,8985,189368.6452,320000,59.18,51.64,38.73,0.0,137,8124.9,0.0,0.0,0.0,0.0,0.0,20.348387096774193
117,8988,24900.0,20000,124.5,51.92,38.94,0.0,51,60.0,0.0,0.0,20.0,0.0,0.0,3.7
118,9057,93420.0,120000,77.85,29.12,21.84,0.0,60,859.0,0.0,0.0,0.0,0.0,0.0,3.7
119,9058,75485.0,75000,100.65,51.64,38.73,0.0,44,312.0,0.0,0.0,0.0,0.0,0.0,6.099999999999999
120,9065,53500.0,50000,107.0,31.09,23.32,1.0,44,227.4,0.0,0.0,6.0,0.0,0.0,0.0
121,9089,15000.0,15000,100.0,20.0,25.0,1.0,45,25.0,0.0,0.0,24.0,0.0,0.0,0.0
122,9090,258448.58532000004,312500,82.7,57.74,43.3,1.5,114,6515.8,0.0,0.0,0.0,0.0,0.0,10.542857142857143
123,9091,238565.93892000002,312500,76.34,57.74,43.3,1.5,113,6270.8,0.0,0.0,7.0,0.0,0.0,10.876428571428573
124,9093,269248.89354,312500,86.16,57.74,43.3,1.5,113,6885.8,0.0,0.0,0.0,0.0,0.0,10.177142857142858
125,9094,189446.11616,250000,75.78,46.19,34.64,1.5,112,4796.2,0.0,0.0,0.0,0.0,0.0,10.067857142857141
126,9095,252482.63115,312500,80.79,57.74,43.3,1.5,113,6840.5,0.0,0.0,41.0,0.0,0.0,10.453571428571427
127,9096,215789.7636,312500,69.05,57.74,43.3,1.5,113,6749.8,0.0,0.0,8.0,0.0,0.0,12.486428571428572
128,9097,227871.52790000002,312500,72.92,57.74,43.3,1.5,114,6488.8,0.0,0.0,6.0,0.0,0.0,11.370000000000001
129,9098,251747.4691,312500,80.56,57.74,43.3,1.5,114,6694.5,0.0,0.0,8.0,0.0,0.0,9.692142857142857
130,9100,204925.06448,250000,81.97,51.64,38.73,1.5,112,5223.6,0.0,0.0,0.0,0.0,0.0,9.86357142857143
131,9101,228742.71010000003,312500,73.2,57.74,43.3,1.5,113,6811.5,0.0,0.0,0.0,0.0,0.0,10.493571428571428
132,9102,185764.88926,180000,103.2,40.0,36.0,1.5,112,5182.0,0.0,0.0,0.0,0.0,0.0,12.289
133,9103,196916.7199,180000,109.4,40.0,36.0,1.5,112,5077.0,0.0,0.0,69.0,0.0,0.0,11.791
134,9104,228335.76049,247000,92.44,51.64,38.73,1.5,112,6645.0,0.0,0.0,2.0,0.0,0.0,14.384
135,9105,292795.08165,309475,94.61,57.74,43.3,1.5,112,7096.0,0.0,0.0,5.0,0.0,0.0,11.097
136,9106,235102.95210000002,247500,94.99,51.64,38.73,1.5,111,5197.0,0.0,0.0,5.0,6477.0,8.66,9.831
137,9112,19800.0,24000,82.5,51.64,38.73,1.0,53,90.0,0.0,0.0,22.0,0.0,0.0,0.0
138,9399,41325.0,120000,34.44,36.51,27.39,1.0,70,525.0,0.0,0.0,0.0,0.0,0.0,4.195
139,9481,33600.0,25000,134.4,57.36,43.02,1.0,52,50.0,0.0,0.0,28.0,0.0,0.0,0.0
140,9482,30000.0,25000,120.0,52.35,39.26,1.0,60,63.0,0.0,0.0,29.0,0.0,0.0,0.0
141,9484,10000.0,10000,100.0,42.0,31.5,0.0,52,76.0,0.0,0.0,31.0,0.0,0.0,0.0
142,9505,18400.0,30000,61.33,28.28,21.21,1.0,46,46.0,0.0,0.0,32.0,0.0,0.0,0.0
143,9516,23750.0,20000,118.75,60.17,45.12,0.0,34,75.0,0.0,0.0,22.0,0.0,0.0,0.0
144,9522,25275.0,85000,29.74,60.02,45.02,1.0,49,200.0,0.0,0.0,19.0,0.0,0.0,0.0
145,9545,123927.356,257400,48.15,44.72,33.54,1.4,68,1882.7,0.0,0.0,3.0,0.0,0.0,9.898
146,9585,53500.0,82000,65.24,44.72,33.54,0.0,55,569.1,0.0,0.0,5.0,0.0,0.0,6.66
147,9590,17200.0,35000,49.14,60.02,45.02,1.0,36,100.0,0.0,0.0,11.0,0.0,0.0,0.0
148,9665,17850.0,40000,44.62,58.12,43.59,60.0,46,58.0,0.0,0.0,24.0,0.0,0.0,0.0
149,9877,109573.0,125000,87.66,51.64,38.73,0.0,60,717.0,0.0,0.0,1.0,0.0,0.0,7.465
150,9921,20965.0,70000,29.95,31.09,23.32,1.0,65,294.2,0.0,0.0,0.0,0.0,0.0,4.58
151,9981,27400.0,100000,27.4,40.0,30.0,0.0,56,525.0,0.0,0.0,1.0,0.0,0.0,0.0
152,9984,55936.0,50000,111.87,30.55,22.91,0.0,65,800.0,0.0,0.0,2.0,0.0,0.0,11.3
153,9987,48400.0,170000,28.47,51.64,38.73,1.0,59,572.0,0.0,0.0,1.0,0.0,0.0,0.0
154,9989,33160.0,60000,55.27,36.51,27.39,0.0,94,819.0,0.0,0.0,4.0,0.0,0.0,6.279999999999999
155,9990,75600.0,100000,75.6,40.0,30.0,1.2,51,583.0,0.0,0.0,3.0,10800.0,9.26,0.0
156,9992,15400.0,60000,25.67,30.55,22.91,0.0,69,421.0,0.0,0.0,1.0,0.0,0.0,0.0
157,9993,76288.0,100000,76.29,37.74,27.3,1.2,96,1795.0,0.0,0.0,4.0,0.0,0.0,16.1
158,9994,15810.0,100000,15.81,44.72,33.54,0.0,58,406.0,0.0,0.0,3.0,0.0,0.0,0.0
159,9996,26676.0,40000,66.69,36.51,27.39,1.3,69,491.5,0.0,0.0,3.0,0.0,0.0,11.2
160,9997,108773.99999999999,130000,83.67,36.51,27.39,1.4,54,693.0,0.0,0.0,3.0,0.0,0.0,0.0
161,9998,11130.0,75000,14.84,36.51,27.39,0.0,79,555.0,0.0,0.0,3.0,0.0,0.0,6.0625
162,10000,79200.0,100000,79.2,36.51,27.39,0.0,48,560.0,0.0,0.0,2.0,0.0,0.0,3.6
163,10004,242063.25,210000,115.27,70.24,52.68,0.0,118,4685.639,0.0,0.0,0.0,0.0,0.0,3.85
164,10005,70980.79999999999,75000,94.64,36.51,27.39,1.0,86,1412.557,0.0,0.0,0.0,0.0,0.0,4.6
165,10010,126320.0,100000,126.32,31.62,23.72,0.0,119,2604.75,0.0,0.0,4.0,0.0,0.0,16.46
166,10017,30534.9,42500,71.85,28.87,21.65,1.0,99,793.655,0.0,0.0,0.0,0.0,0.0,0.0
167,10018,40577.5,42500,95.48,28.87,21.65,1.0,99,1145.834,0.0,0.0,1.0,0.0,0.0,0.0
168,10019,28561.5,25000,114.25,12.65,9.49,1.0,98,541.08,0.0,0.0,0.0,0.0,0.0,0.0
169,10022,30980.5,25000,123.92,12.65,9.49,1.0,93,490.951,0.0,0.0,0.0,0.0,0.0,0.0
170,10023,30000.0,50000,60.0,28.57,21.42,0.0,77,576.191,0.0,0.0,0.0,0.0,0.0,0.0
171,10025,28500.0,25000,114.0,30.55,22.91,0.0,66,407.886,0.0,0.0,0.0,0.0,0.0,4.0
172,10026,28500.0,25000,114.0,30.55,22.91,0.0,67,233.119,0.0,0.0,0.0,0.0,0.0,3.8
173,10027,34500.0,30000,115.0,20.0,15.0,0.0,82,306.11,0.0,0.0,0.0,0.0,0.0,3.95
174,10028,59359.0,55000,107.93,32.46,24.34,1.5,108,892.705,0.0,0.0,0.0,0.0,0.0,10.0
175,10029,52458.0,45000,116.57,32.66,24.49,1.0,108,891.969,0.0,0.0,0.0,0.0,0.0,11.1
176,10030,84745.0,100000,84.74,36.51,27.39,1.0,97,1776.869,0.0,0.0,0.0,0.0,0.0,9.0
177,10031,77999.4,50000,156.0,36.88,27.66,1.5,97,775.814,0.0,0.0,1.0,0.0,0.0,13.506666666666666
178,10041,142034.0,150000,94.69,40.0,30.0,0.0,96,2252.0,0.0,0.0,0.0,0.0,0.0,0.0
179,10042,208223.0,180000,115.68,54.16,40.62,1.0,109,4079.5,0.0,0.0,0.0,0.0,0.0,8.6
180,10043,143474.0,120000,119.56,43.2,32.4,0.0,110,2765.0,0.0,0.0,0.0,0.0,0.0,8.135
181,10044,117743.0,110000,107.04,40.0,30.0,0.0,120,3422.5,0.0,0.0,0.0,0.0,0.0,8.36625
182,10046,30339.0,40000,75.85,36.51,27.39,0.0,78,515.0,0.0,0.0,0.0,0.0,0.0,13.539999999999997
183,10070,222239.2738,320000,69.45,51.64,38.73,0.0,136,9267.5,0.0,0.0,1.0,0.0,0.0,17.48193548387097
184,10071,199817.9964,320000,62.44,51.64,38.73,0.0,137,8257.5,0.0,0.0,0.0,0.0,0.0,18.893870967741936
185,10072,209932.3511,320000,65.6,51.64,38.73,1.2,136,8852.6,0.0,0.0,1.0,0.0,0.0,17.686333333333334
186,10089,22500.0,20000,112.5,60.17,45.12,1.0,39,100.0,0.0,0.0,18.0,0.0,0.0,0.0
187,10090,2550.0,20000,12.75,20.0,25.0,1.0,57,55.0,0.0,0.0,38.0,0.0,0.0,0.0
188,10091,16250.0,20000,81.25,56.86,42.65,1.0,51,150.0,0.0,0.0,23.0,0.0,0.0,0.0
189,10166,18000.0,50000,36.0,51.64,38.73,1.0,48,50.0,0.0,0.0,25.0,0.0,0.0,0.0
190,10169,19000.0,20000,95.0,51.92,38.94,0.0,46,70.0,0.0,0.0,24.0,0.0,0.0,0.0
191,10175,12000.0,20000,60.0,60.17,45.12,0.0,31,50.0,0.0,0.0,22.0,0.0,0.0,0.0
192,10191,15833.0,50000,31.67,11.55,8.66,1.3,74,279.0,0.0,0.0,0.0,0.0,0.0,8.27
193,10195,62173.259999999995,100000,62.17,33.67,25.25,1.2,113,2475.0,0.0,0.0,0.0,2115.0,83.34,16.406666666666666
194,10196,64281.25,90000,71.42,36.0,25.0,1.0,89,1500.0,0.0,0.0,0.0,2000.0,1.0,15.491666666666667
195,10197,84731.52,130000,65.18,36.51,27.39,1.2,111,2425.0,0.0,0.0,0.0,0.0,0.0,14.9
196,10198,41353.36,90000,45.95,36.51,27.39,1.2,89,1225.0,0.0,0.0,0.0,0.0,0.0,11.434000000000001
197,10200,15303.6,90000,17.0,36.51,27.39,1.2,80,550.0,0.0,0.0,0.0,0.0,0.0,7.5475
198,10201,49088.1,60000,81.81,36.51,27.39,1.2,87,1126.9,0.0,0.0,0.0,3500.0,2.0,7.0200000000000005
199,10203,44300.0,90000,49.22,577.35,433.01,1.0,92,1450.0,0.0,0.0,0.0,7500.0,4.0,8.814285714285715
200,10241,70122.0,80000,87.65,38.3,28.72,0.0,89,1050.3,0.0,0.0,3.0,2640.0,44.709999999999994,7.95
201,10242,76140.0,80000,95.18,30.55,22.91,0.0,106,1510.4,0.0,0.0,1.0,0.0,0.0,13.766666666666667
202,10258,19780.2,40000,49.45,36.0,27.0,1.2,52,239.4,0.0,0.0,1.0,7500.0,4.0,3.6225
203,10357,750.0,50000,1.5,57.36,43.02,1.0,43,29.0,0.0,0.0,31.0,0.0,0.0,0.0
204,10358,183480.0,150000,122.32,44.72,33.54,1.5,48,690.5,0.0,0.0,0.0,0.0,0.0,2.075
205,10360,55050.0,100000,55.05,39.9,29.92,0.0,40,127.0,0.0,0.0,10.0,0.0,0.0,0.0
206,10366,113918.0,80000,142.4,28.28,21.21,1.0,81,1714.5,0.0,0.0,0.0,376.0,64.32,11.158750000000001
207,10367,135650.0,120000,113.04,40.0,30.0,1.0,74,1575.5,0.0,0.0,1.0,597.0,37.57,8.705
208,10369,115640.7,75000,154.19,70.0,60.0,0.8,67,931.75,0.0,0.0,0.0,0.0,0.0,0.0
209,10371,255960.0,67000,382.03,40.0,20.0,1.8,48,1081.0,0.0,0.0,5.0,0.0,0.0,2.5
210,10384,19000.0,70000,27.14,50.0,30.0,0.7,37,74.5,0.0,0.0,27.0,10000.0,5.0,0.0
211,10400,224484.0,275000,81.63,63.25,47.43,0.0,110,6094.5,0.0,0.0,0.0,0.0,0.0,12.706
212,10408,115500.0,100000,115.5,29.3,21.98,1.5,56,649.8,0.0,0.0,3.0,0.0,0.0,3.73
213,10414,32250.0,100000,32.25,36.51,27.39,0.0,100,1551.3,0.0,0.0,3.0,0.0,0.0,9.47
214,10535,17415.0,40000,43.54,60.02,45.02,1.0,49,175.0,0.0,0.0,16.0,0.0,0.0,0.0
215,10636,11700.0,64000,18.28,51.88,38.91,0.0,61,102.0,0.0,0.0,27.0,0.0,0.0,0.0
216,10639,16000.0,32000,50.0,58.5,43.88,1.0,62,50.0,0.0,0.0,35.0,0.0,0.0,0.0
217,10703,106044.92980000001,260000,40.79,56.57,42.43,1.5,85,5618.0,0.0,0.0,43.0,0.0,0.0,10.85875
218,10704,136630.022,300000,45.54,63.25,47.43,1.5,85,6546.0,0.0,0.0,2.0,0.0,0.0,11.45142857142857
219,10705,102190.60310000001,230000,44.43,55.38,41.53,1.5,85,4391.0,0.0,0.0,2.0,0.0,0.0,10.897142857142857
220,10706,76946.72260000001,210000,36.64,52.92,39.69,1.5,81,3715.0,0.0,0.0,0.0,0.0,0.0,8.911428571428571
221,10710,79332.5579,220000,36.06,54.16,40.62,1.5,81,3688.0,0.0,0.0,1.0,0.0,0.0,9.855
222,10711,86921.079,240000,36.22,56.57,42.43,1.5,81,4352.0,0.0,0.0,3.0,0.0,0.0,11.786249999999999
